year,region,type_of_violence,event_count
2017,Asia,1,3084
2017,Asia,2,66
2017,Asia,3,307
2017,Europe,1,266
2017,Europe,3,4
2017,Middle East,1,6626
2017,Middle East,2,2364
2017,Middle East,3,310
2018,Africa,1,1303
2018,Africa,2,704
2018,Africa,3,842
2018,Americas,1,49
2018,Americas,2,1049
2018,Americas,3,239
2018,Asia,1,4226
2018,Asia,2,69
2018,Asia,3,272
2018,Europe,1,195
2018,Europe,3,7
2018,Middle East,1,3108
2018,Middle East,2,1283
2018,Middle East,3,164
2019,Africa,1,1460
2019,Africa,2,460
2019,Africa,3,996
2019,Americas,1,53
2019,Americas,2,1618
2019,Americas,3,182
2019,Asia,1,5170
2019,Asia,2,20
2019,Asia,3,285
2019,Europe,1,225
2019,Europe,3,1
2019,Middle East,1,2386
2019,Middle East,2,777
2019,Middle East,3,208
2020,Africa,1,1794
2020,Africa,2,485
2020,Africa,3,1364
2020,Americas,1,24
2020,Americas,2,2748
2020,Americas,3,207
2020,Asia,1,3811
2020,Asia,2,42
2020,Asia,3,295
2020,Europe,1,311
2020,Europe,3,2
2020,Middle East,1,1888
2020,Middle East,2,342
2020,Middle East,3,119
2021,Africa,1,2238
2021,Africa,2,365
2021,Africa,3,1343
2021,Americas,1,46
2021,Americas,2,4513
2021,Americas,3,243
2021,Asia,1,5423
2021,Asia,2,9
2021,Asia,3,633
2021,Europe,1,195
2021,Middle East,1,1865
2021,Middle East,2,207
2021,Middle East,3,174
2022,Africa,1,2392
2022,Africa,2,486
2022,Africa,3,1633
2022,Americas,1,41
2022,Americas,2,3568
2022,Americas,3,433
2022,Asia,1,2217
2022,Asia,2,21
2022,Asia,3,548
2022,Europe,1,7271
2022,Europe,3,208
2022,Middle East,1,1500
2022,Middle East,2,225
2022,Middle East,3,231
2023,Africa,1,2351
2023,Africa,2,411
2023,Africa,3,1582
2023,Americas,1,38
2023,Americas,2,5282
2023,Americas,3,550
2023,Asia,1,2520
2023,Asia,2,42
2023,Asia,3,492
2023,Europe,1,10282
2023,Europe,2,42
2023,Europe,3,10
2023,Middle East,1,2535
2023,Middle East,2,250
2023,Middle East,3,99
2024,Africa,1,2367
2024,Africa,2,355
2024,Africa,3,1797
2024,Americas,1,146
2024,Americas,2,4338
2024,Americas,3,451
2024,Asia,1,1912
2024,Asia,2,71
2024,Asia,3,449
2024,Europe,1,11086
2024,Europe,2,3
2024,Europe,3,14
2024,Middle East,1,5451
2024,Middle East,2,285
2024,Middle East,3,91
