country,country_id,year,type_of_violence,events_count,total,share
Kenya,501,2016,3,11,48,0.22916666666666666
Kenya,501,2017,1,33,107,0.308411214953271
Kenya,501,2017,2,24,107,0.22429906542056074
Kenya,501,2017,3,50,107,0.4672897196261682
Kenya,501,2018,1,24,69,0.34782608695652173
Kenya,501,2018,2,27,69,0.391304347826087
Kenya,501,2018,3,18,69,0.2608695652173913
Kenya,501,2019,1,21,51,0.4117647058823529
Kenya,501,2019,2,22,51,0.43137254901960786
Kenya,501,2019,3,8,51,0.1568627450980392
Kenya,501,2020,1,37,65,0.5692307692307692
Kenya,501,2020,2,8,65,0.12307692307692308
Kenya,501,2020,3,20,65,0.3076923076923077
Kenya,501,2021,1,38,54,0.7037037037037037
Kenya,501,2021,2,11,54,0.2037037037037037
Kenya,501,2021,3,5,54,0.09259259259259259
Kenya,501,2022,1,24,31,0.7741935483870968
Kenya,501,2022,2,1,31,0.03225806451612903
Kenya,501,2022,3,6,31,0.1935483870967742
Kenya,501,2023,1,44,57,0.7719298245614035
Kenya,501,2023,3,13,57,0.22807017543859648
Kenya,501,2024,1,17,30,0.5666666666666667
Kenya,501,2024,2,7,30,0.23333333333333334
Kenya,501,2024,3,6,30,0.2
Tanzania,510,1992,3,1,1,1
Tanzania,510,1996,2,1,1,1
Tanzania,510,1997,3,1,1,1
Tanzania,510,1999,3,1,1,1
Tanzania,510,2001,3,7,7,1
Tanzania,510,2007,3,1,1,1
Tanzania,510,2012,3,1,1,1
Tanzania,510,2014,3,1,1,1
Tanzania,510,2017,3,1,1,1
Tanzania,510,2018,3,1,1,1
Tanzania,510,2019,3,3,3,1
Tanzania,510,2020,1,2,17,0.11764705882352941
Tanzania,510,2020,3,15,17,0.8823529411764706
Tanzania,510,2021,1,4,8,0.5
Tanzania,510,2021,3,4,8,0.5
Tanzania,510,2022,1,1,3,0.3333333333333333
Tanzania,510,2022,3,2,3,0.6666666666666666
Tanzania,510,2024,3,5,5,1
Burundi,516,1990,1,1,1,1
Burundi,516,1991,1,11,21,0.5238095238095238
Burundi,516,1991,3,10,21,0.47619047619047616
Burundi,516,1992,1,3,3,1
Burundi,516,1993,1,2,454,0.004405286343612335
Burundi,516,1993,2,232,454,0.5110132158590308
Burundi,516,1993,3,220,454,0.4845814977973568
Burundi,516,1994,1,13,46,0.2826086956521739
Burundi,516,1994,2,13,46,0.2826086956521739
Burundi,516,1994,3,20,46,0.43478260869565216
Burundi,516,1995,1,53,126,0.42063492063492064
Burundi,516,1995,2,7,126,0.05555555555555555
Burundi,516,1995,3,66,126,0.5238095238095238
Burundi,516,1996,1,64,188,0.3404255319148936
Burundi,516,1996,2,4,188,0.02127659574468085
Burundi,516,1996,3,120,188,0.6382978723404256
Burundi,516,1997,1,89,200,0.445
Burundi,516,1997,2,5,200,0.025
Burundi,516,1997,3,106,200,0.53
Burundi,516,1998,1,57,122,0.4672131147540984
Burundi,516,1998,3,65,122,0.5327868852459017
Burundi,516,1999,1,81,200,0.405
Burundi,516,1999,2,2,200,0.01
Burundi,516,1999,3,117,200,0.585
Burundi,516,2000,1,155,250,0.62
Burundi,516,2000,2,1,250,0.004
Burundi,516,2000,3,94,250,0.376
Burundi,516,2001,1,118,188,0.6276595744680851
Burundi,516,2001,3,70,188,0.3723404255319149
Burundi,516,2002,1,169,239,0.7071129707112971
Burundi,516,2002,3,70,239,0.2928870292887029
Burundi,516,2003,1,101,208,0.4855769230769231
Burundi,516,2003,2,14,208,0.0673076923076923
Burundi,516,2003,3,93,208,0.44711538461538464
Burundi,516,2004,1,54,89,0.6067415730337079
Burundi,516,2004,2,11,89,0.12359550561797752
Burundi,516,2004,3,24,89,0.2696629213483146
Burundi,516,2005,1,54,120,0.45
Burundi,516,2005,2,1,120,0.008333333333333333
Burundi,516,2005,3,65,120,0.5416666666666666
Burundi,516,2006,1,27,55,0.4909090909090909
Burundi,516,2006,3,28,55,0.509090909090909
Burundi,516,2007,1,3,25,0.12
Burundi,516,2007,2,6,25,0.24
Burundi,516,2007,3,16,25,0.64
Burundi,516,2008,1,29,48,0.6041666666666666
Burundi,516,2008,3,19,48,0.3958333333333333
Burundi,516,2009,3,3,3,1
Burundi,516,2011,1,3,6,0.5
Burundi,516,2011,3,3,6,0.5
Burundi,516,2012,1,1,7,0.14285714285714285
Burundi,516,2012,3,6,7,0.8571428571428571
Burundi,516,2013,3,7,7,1
Burundi,516,2014,1,9,9,1
Burundi,516,2015,1,15,42,0.35714285714285715
Burundi,516,2015,3,27,42,0.6428571428571429
Burundi,516,2016,1,4,75,0.05333333333333334
Burundi,516,2016,3,71,75,0.9466666666666667
Burundi,516,2017,1,2,43,0.046511627906976744
Burundi,516,2017,3,41,43,0.9534883720930233
Burundi,516,2018,1,3,60,0.05
Burundi,516,2018,3,57,60,0.95
Burundi,516,2019,1,2,51,0.0392156862745098
Burundi,516,2019,3,49,51,0.9607843137254902
Burundi,516,2020,1,14,78,0.1794871794871795
Burundi,516,2020,3,64,78,0.8205128205128205
Burundi,516,2021,1,3,50,0.06
Burundi,516,2021,3,47,50,0.94
Burundi,516,2022,1,1,42,0.023809523809523808
Burundi,516,2022,3,41,42,0.9761904761904762
Burundi,516,2023,1,4,39,0.10256410256410256
Burundi,516,2023,3,35,39,0.8974358974358975
Burundi,516,2024,1,1,49,0.02040816326530612
Burundi,516,2024,3,48,49,0.9795918367346939
Rwanda,517,1990,1,28,37,0.7567567567567568
Rwanda,517,1990,3,9,37,0.24324324324324326
Rwanda,517,1991,1,31,38,0.8157894736842105
Rwanda,517,1991,3,7,38,0.18421052631578946
Rwanda,517,1992,1,17,32,0.53125
Rwanda,517,1992,3,15,32,0.46875
Rwanda,517,1993,1,8,42,0.19047619047619047
Rwanda,517,1993,3,34,42,0.8095238095238095
Rwanda,517,1994,1,57,2119,0.026899480887210947
Rwanda,517,1994,3,2062,2119,0.973100519112789
Rwanda,517,1995,3,17,17,1
Rwanda,517,1996,1,23,41,0.5609756097560976
Rwanda,517,1996,2,1,41,0.024390243902439025
Rwanda,517,1996,3,17,41,0.4146341463414634
Rwanda,517,1997,1,36,131,0.2748091603053435
Rwanda,517,1997,2,4,131,0.030534351145038167
Rwanda,517,1997,3,91,131,0.6946564885496184
Rwanda,517,1998,1,33,67,0.4925373134328358
Rwanda,517,1998,3,34,67,0.5074626865671642
Rwanda,517,1999,3,1,1,1
Rwanda,517,2001,1,22,22,1
Rwanda,517,2004,1,1,1,1
Rwanda,517,2009,3,1,1,1
Rwanda,517,2011,3,1,1,1
Rwanda,517,2012,1,4,4,1
Rwanda,517,2013,1,2,3,0.6666666666666666
Rwanda,517,2013,3,1,3,0.3333333333333333
Rwanda,517,2016,3,26,26,1
Rwanda,517,2017,3,9,9,1
Rwanda,517,2018,1,2,4,0.5
Rwanda,517,2018,3,2,4,0.5
Rwanda,517,2019,1,1,1,1
Rwanda,517,2021,1,2,2,1
Rwanda,517,2022,1,2,3,0.6666666666666666
Rwanda,517,2022,3,1,3,0.3333333333333333
Rwanda,517,2024,1,1,2,0.5
Rwanda,517,2024,3,1,2,0.5
Somalia,520,1989,1,29,33,0.8787878787878788
Somalia,520,1989,3,4,33,0.12121212121212122
Somalia,520,1990,1,48,52,0.9230769230769231
Somalia,520,1990,2,2,52,0.038461538461538464
Somalia,520,1990,3,2,52,0.038461538461538464
Somalia,520,1991,1,15,20,0.75
Somalia,520,1991,3,5,20,0.25
Somalia,520,1992,1,10,18,0.5555555555555556
Somalia,520,1992,2,7,18,0.3888888888888889
Somalia,520,1992,3,1,18,0.05555555555555555
Somalia,520,1993,1,3,20,0.15
Somalia,520,1993,2,17,20,0.85
Somalia,520,1994,1,21,37,0.5675675675675675
Somalia,520,1994,2,16,37,0.43243243243243246
Somalia,520,1995,1,24,69,0.34782608695652173
Somalia,520,1995,2,44,69,0.6376811594202898
Somalia,520,1995,3,1,69,0.014492753623188406
Somalia,520,1996,1,35,92,0.3804347826086957
Somalia,520,1996,2,57,92,0.6195652173913043
Somalia,520,1997,2,27,27,1
Somalia,520,1998,2,18,18,1
Somalia,520,1999,1,2,42,0.047619047619047616
Somalia,520,1999,2,36,42,0.8571428571428571
Somalia,520,1999,3,4,42,0.09523809523809523
Somalia,520,2000,2,26,27,0.9629629629629629
Somalia,520,2000,3,1,27,0.037037037037037035
Somalia,520,2001,1,12,31,0.3870967741935484
Somalia,520,2001,2,17,31,0.5483870967741935
Somalia,520,2001,3,2,31,0.06451612903225806
Somalia,520,2002,1,10,61,0.16393442622950818
Somalia,520,2002,2,51,61,0.8360655737704918
Somalia,520,2003,2,48,49,0.9795918367346939
Somalia,520,2003,3,1,49,0.02040816326530612
Somalia,520,2004,1,1,52,0.019230769230769232
Somalia,520,2004,2,51,52,0.9807692307692307
Somalia,520,2005,2,26,26,1
Somalia,520,2006,1,32,79,0.4050632911392405
Somalia,520,2006,2,46,79,0.5822784810126582
Somalia,520,2006,3,1,79,0.012658227848101266
Somalia,520,2007,1,281,294,0.95578231292517
Somalia,520,2007,2,6,294,0.02040816326530612
Somalia,520,2007,3,7,294,0.023809523809523808
Somalia,520,2008,1,228,288,0.7916666666666666
Somalia,520,2008,2,23,288,0.0798611111111111
Somalia,520,2008,3,37,288,0.1284722222222222
Somalia,520,2009,1,178,255,0.6980392156862745
Somalia,520,2009,2,54,255,0.21176470588235294
Somalia,520,2009,3,23,255,0.09019607843137255
Somalia,520,2010,1,238,313,0.7603833865814696
Somalia,520,2010,2,64,313,0.20447284345047922
Somalia,520,2010,3,11,313,0.03514376996805112
Somalia,520,2011,1,225,271,0.8302583025830258
Somalia,520,2011,2,11,271,0.04059040590405904
Somalia,520,2011,3,35,271,0.12915129151291513
Somalia,520,2012,1,365,446,0.8183856502242153
Somalia,520,2012,2,17,446,0.03811659192825112
Somalia,520,2012,3,64,446,0.14349775784753363
Somalia,520,2013,1,304,383,0.793733681462141
Somalia,520,2013,3,79,383,0.206266318537859
Somalia,520,2014,1,343,406,0.8448275862068966
Somalia,520,2014,2,1,406,0.0024630541871921183
Somalia,520,2014,3,62,406,0.15270935960591134
Somalia,520,2015,1,286,319,0.896551724137931
Somalia,520,2015,2,1,319,0.003134796238244514
Somalia,520,2015,3,32,319,0.10031347962382445
Somalia,520,2016,1,335,377,0.8885941644562334
Somalia,520,2016,2,4,377,0.010610079575596816
Somalia,520,2016,3,38,377,0.10079575596816977
Somalia,520,2017,1,230,285,0.8070175438596491
Somalia,520,2017,2,3,285,0.010526315789473684
Somalia,520,2017,3,52,285,0.1824561403508772
Somalia,520,2018,1,424,509,0.8330058939096268
Somalia,520,2018,2,13,509,0.025540275049115914
Somalia,520,2018,3,72,509,0.14145383104125736
Somalia,520,2019,1,352,426,0.8262910798122066
Somalia,520,2019,2,27,426,0.06338028169014084
Somalia,520,2019,3,47,426,0.11032863849765258
Somalia,520,2020,1,343,394,0.8705583756345178
Somalia,520,2020,2,14,394,0.03553299492385787
Somalia,520,2020,3,37,394,0.09390862944162437
Somalia,520,2021,1,358,390,0.9179487179487179
Somalia,520,2021,2,1,390,0.002564102564102564
Somalia,520,2021,3,31,390,0.07948717948717948
Somalia,520,2022,1,317,338,0.9378698224852071
Somalia,520,2022,2,3,338,0.008875739644970414
Somalia,520,2022,3,18,338,0.05325443786982249
Somalia,520,2023,1,216,247,0.8744939271255061
Somalia,520,2023,2,17,247,0.06882591093117409
Somalia,520,2023,3,14,247,0.05668016194331984
Somalia,520,2024,1,143,174,0.8218390804597702
Somalia,520,2024,2,8,174,0.04597701149425287
Somalia,520,2024,3,23,174,0.13218390804597702
Djibouti,522,1989,1,1,1,1
Djibouti,522,1990,1,1,1,1
Djibouti,522,1991,1,7,9,0.7777777777777778
Djibouti,522,1991,2,1,9,0.1111111111111111
Djibouti,522,1991,3,1,9,0.1111111111111111
Djibouti,522,1992,1,10,11,0.9090909090909091
Djibouti,522,1992,3,1,11,0.09090909090909091
Djibouti,522,1993,1,8,12,0.6666666666666666
Djibouti,522,1993,3,4,12,0.3333333333333333
Djibouti,522,1994,1,3,5,0.6
Djibouti,522,1994,3,2,5,0.4
Djibouti,522,1995,1,1,4,0.25
Djibouti,522,1995,2,2,4,0.5
Djibouti,522,1995,3,1,4,0.25
Djibouti,522,1996,3,2,2,1
Djibouti,522,1997,1,1,1,1
Djibouti,522,1998,1,2,2,1
Djibouti,522,1999,1,8,8,1
Djibouti,522,2008,1,2,2,1
Djibouti,522,2014,3,1,1,1
Djibouti,522,2018,2,1,1,1
Djibouti,522,2021,2,1,1,1
Ethiopia,530,1989,1,59,72,0.8194444444444444
Ethiopia,530,1989,2,1,72,0.013888888888888888
Ethiopia,530,1989,3,12,72,0.16666666666666666
Ethiopia,530,1990,1,101,110,0.9181818181818182
Ethiopia,530,1990,3,9,110,0.08181818181818182
Ethiopia,530,1991,1,28,44,0.6363636363636364
Ethiopia,530,1991,2,8,44,0.18181818181818182
Ethiopia,530,1991,3,8,44,0.18181818181818182
Ethiopia,530,1992,1,7,16,0.4375
Ethiopia,530,1992,2,9,16,0.5625
Ethiopia,530,1993,1,5,13,0.38461538461538464
Ethiopia,530,1993,2,7,13,0.5384615384615384
Ethiopia,530,1993,3,1,13,0.07692307692307693
Ethiopia,530,1994,1,5,5,1
Ethiopia,530,1995,1,8,9,0.8888888888888888
Ethiopia,530,1995,2,1,9,0.1111111111111111
Ethiopia,530,1996,1,4,5,0.8
Ethiopia,530,1996,2,1,5,0.2
Ethiopia,530,1997,1,2,4,0.5
Ethiopia,530,1997,2,2,4,0.5
Ethiopia,530,1998,1,16,21,0.7619047619047619
Ethiopia,530,1998,2,3,21,0.14285714285714285
Ethiopia,530,1998,3,2,21,0.09523809523809523
Ethiopia,530,1999,1,38,42,0.9047619047619048
Ethiopia,530,1999,2,3,42,0.07142857142857142
Ethiopia,530,1999,3,1,42,0.023809523809523808
Ethiopia,530,2000,1,46,77,0.5974025974025974
Ethiopia,530,2000,2,24,77,0.3116883116883117
Ethiopia,530,2000,3,7,77,0.09090909090909091
Ethiopia,530,2001,1,32,52,0.6153846153846154
Ethiopia,530,2001,2,19,52,0.36538461538461536
Ethiopia,530,2001,3,1,52,0.019230769230769232
Ethiopia,530,2002,1,89,124,0.717741935483871
Ethiopia,530,2002,2,26,124,0.20967741935483872
Ethiopia,530,2002,3,9,124,0.07258064516129033
Ethiopia,530,2003,1,40,69,0.5797101449275363
Ethiopia,530,2003,2,17,69,0.2463768115942029
Ethiopia,530,2003,3,12,69,0.17391304347826086
Ethiopia,530,2004,1,84,126,0.6666666666666666
Ethiopia,530,2004,2,15,126,0.11904761904761904
Ethiopia,530,2004,3,27,126,0.21428571428571427
Ethiopia,530,2005,1,55,90,0.6111111111111112
Ethiopia,530,2005,2,17,90,0.18888888888888888
Ethiopia,530,2005,3,18,90,0.2
Ethiopia,530,2006,1,76,102,0.7450980392156863
Ethiopia,530,2006,2,15,102,0.14705882352941177
Ethiopia,530,2006,3,11,102,0.10784313725490197
Ethiopia,530,2007,1,90,145,0.6206896551724138
Ethiopia,530,2007,2,14,145,0.09655172413793103
Ethiopia,530,2007,3,41,145,0.2827586206896552
Ethiopia,530,2008,1,55,83,0.6626506024096386
Ethiopia,530,2008,2,27,83,0.3253012048192771
Ethiopia,530,2008,3,1,83,0.012048192771084338
Ethiopia,530,2009,1,69,87,0.7931034482758621
Ethiopia,530,2009,2,18,87,0.20689655172413793
Ethiopia,530,2010,1,96,98,0.9795918367346939
Ethiopia,530,2010,2,1,98,0.01020408163265306
Ethiopia,530,2010,3,1,98,0.01020408163265306
Ethiopia,530,2011,1,90,92,0.9782608695652174
Ethiopia,530,2011,2,2,92,0.021739130434782608
Ethiopia,530,2012,1,76,90,0.8444444444444444
Ethiopia,530,2012,2,4,90,0.044444444444444446
Ethiopia,530,2012,3,10,90,0.1111111111111111
Ethiopia,530,2013,1,53,54,0.9814814814814815
Ethiopia,530,2013,3,1,54,0.018518518518518517
Ethiopia,530,2014,1,20,27,0.7407407407407407
Ethiopia,530,2014,2,1,27,0.037037037037037035
Ethiopia,530,2014,3,6,27,0.2222222222222222
Ethiopia,530,2015,1,41,97,0.422680412371134
Ethiopia,530,2015,3,56,97,0.5773195876288659
Ethiopia,530,2016,1,46,148,0.3108108108108108
Ethiopia,530,2016,2,5,148,0.033783783783783786
Ethiopia,530,2016,3,97,148,0.6554054054054054
Ethiopia,530,2017,1,1,41,0.024390243902439025
Ethiopia,530,2017,2,21,41,0.5121951219512195
Ethiopia,530,2017,3,19,41,0.4634146341463415
Ethiopia,530,2018,1,4,63,0.06349206349206349
Ethiopia,530,2018,2,27,63,0.42857142857142855
Ethiopia,530,2018,3,32,63,0.5079365079365079
Ethiopia,530,2019,1,15,63,0.23809523809523808
Ethiopia,530,2019,2,27,63,0.42857142857142855
Ethiopia,530,2019,3,21,63,0.3333333333333333
Ethiopia,530,2020,1,73,263,0.27756653992395436
Ethiopia,530,2020,2,40,263,0.1520912547528517
Ethiopia,530,2020,3,150,263,0.5703422053231939
Ethiopia,530,2021,1,449,730,0.6150684931506849
Ethiopia,530,2021,2,4,730,0.005479452054794521
Ethiopia,530,2021,3,277,730,0.37945205479452054
Ethiopia,530,2022,1,699,879,0.7952218430034129
Ethiopia,530,2022,2,4,879,0.004550625711035267
Ethiopia,530,2022,3,176,879,0.20022753128555176
Ethiopia,530,2023,1,332,579,0.5734024179620034
Ethiopia,530,2023,2,25,579,0.04317789291882556
Ethiopia,530,2023,3,222,579,0.38341968911917096
Ethiopia,530,2024,1,481,866,0.5554272517321016
Ethiopia,530,2024,2,17,866,0.019630484988452657
Ethiopia,530,2024,3,368,866,0.42494226327944573
Eritrea,531,1993,1,1,1,1
Eritrea,531,1996,1,2,2,1
Eritrea,531,1997,1,9,9,1
Eritrea,531,1998,1,3,3,1
Eritrea,531,1999,1,13,13,1
Eritrea,531,2000,1,6,10,0.6
Eritrea,531,2000,3,4,10,0.4
Eritrea,531,2003,1,9,9,1
Eritrea,531,2008,3,1,1,1
Eritrea,531,2016,1,1,1,1
Eritrea,531,2022,1,4,4,1
Angola,540,1989,1,242,260,0.9307692307692308
Angola,540,1989,3,18,260,0.06923076923076923
Angola,540,1990,1,165,181,0.9116022099447514
Angola,540,1990,3,16,181,0.08839779005524862
Angola,540,1991,1,19,19,1
Angola,540,1992,1,36,38,0.9473684210526315
Angola,540,1992,3,2,38,0.05263157894736842
Angola,540,1993,1,200,220,0.9090909090909091
Angola,540,1993,3,20,220,0.09090909090909091
Angola,540,1994,1,290,320,0.90625
Angola,540,1994,3,30,320,0.09375
Angola,540,1995,1,65,76,0.8552631578947368
Angola,540,1995,3,11,76,0.14473684210526316
Angola,540,1996,1,26,28,0.9285714285714286
Angola,540,1996,3,2,28,0.07142857142857142
Angola,540,1997,1,18,35,0.5142857142857142
Angola,540,1997,3,17,35,0.4857142857142857
Angola,540,1998,1,72,110,0.6545454545454545
Angola,540,1998,3,38,110,0.34545454545454546
Angola,540,1999,1,201,245,0.8204081632653061
Angola,540,1999,3,44,245,0.17959183673469387
Angola,540,2000,1,78,130,0.6
Angola,540,2000,3,52,130,0.4
Angola,540,2001,1,67,124,0.5403225806451613
Angola,540,2001,3,57,124,0.4596774193548387
Angola,540,2002,1,47,69,0.6811594202898551
Angola,540,2002,3,22,69,0.3188405797101449
Angola,540,2003,1,17,37,0.4594594594594595
Angola,540,2003,3,20,37,0.5405405405405406
Angola,540,2004,1,14,19,0.7368421052631579
Angola,540,2004,3,5,19,0.2631578947368421
Angola,540,2005,1,6,13,0.46153846153846156
Angola,540,2005,3,7,13,0.5384615384615384
Angola,540,2006,1,10,12,0.8333333333333334
Angola,540,2006,3,2,12,0.16666666666666666
Angola,540,2007,1,21,22,0.9545454545454546
Angola,540,2007,3,1,22,0.045454545454545456
Angola,540,2008,1,9,9,1
Angola,540,2009,1,9,9,1
Angola,540,2010,1,3,4,0.75
Angola,540,2010,3,1,4,0.25
Angola,540,2011,1,2,2,1
Angola,540,2013,1,1,1,1
Angola,540,2014,1,6,6,1
Angola,540,2015,1,2,2,1
Angola,540,2016,1,17,18,0.9444444444444444
Angola,540,2016,3,1,18,0.05555555555555555
Angola,540,2017,1,23,24,0.9583333333333334
Angola,540,2017,3,1,24,0.041666666666666664
Angola,540,2018,1,1,6,0.16666666666666666
Angola,540,2018,3,5,6,0.8333333333333334
Angola,540,2019,1,9,11,0.8181818181818182
Angola,540,2019,3,2,11,0.18181818181818182
Angola,540,2020,1,18,26,0.6923076923076923
Angola,540,2020,3,8,26,0.3076923076923077
Angola,540,2021,3,4,4,1
Angola,540,2022,1,16,17,0.9411764705882353
Angola,540,2022,3,1,17,0.058823529411764705
Angola,540,2023,1,1,1,1
Angola,540,2024,1,8,10,0.8
Angola,540,2024,3,2,10,0.2
Mozambique,541,1989,1,110,131,0.8396946564885496
Mozambique,541,1989,3,21,131,0.16030534351145037
Mozambique,541,1990,1,24,44,0.5454545454545454
Mozambique,541,1990,3,20,44,0.45454545454545453
Mozambique,541,1991,1,17,58,0.29310344827586204
Mozambique,541,1991,2,4,58,0.06896551724137931
Mozambique,541,1991,3,37,58,0.6379310344827587
Mozambique,541,1992,1,11,34,0.3235294117647059
Mozambique,541,1992,3,23,34,0.6764705882352942
Mozambique,541,1993,3,2,2,1
Mozambique,541,1994,3,2,2,1
Mozambique,541,1995,3,1,1,1
Mozambique,541,2004,1,1,1,1
Mozambique,541,2005,1,1,2,0.5
Mozambique,541,2005,3,1,2,0.5
Mozambique,541,2010,3,1,1,1
Mozambique,541,2012,1,1,1,1
Mozambique,541,2013,1,15,18,0.8333333333333334
Mozambique,541,2013,3,3,18,0.16666666666666666
Mozambique,541,2014,1,12,13,0.9230769230769231
Mozambique,541,2014,3,1,13,0.07692307692307693
Mozambique,541,2016,1,25,31,0.8064516129032258
Mozambique,541,2016,3,6,31,0.1935483870967742
Mozambique,541,2017,3,3,3,1
Mozambique,541,2018,1,15,48,0.3125
Mozambique,541,2018,3,33,48,0.6875
Mozambique,541,2019,1,45,124,0.3629032258064516
Mozambique,541,2019,3,79,124,0.6370967741935484
Mozambique,541,2020,1,87,213,0.4084507042253521
Mozambique,541,2020,3,126,213,0.5915492957746479
Mozambique,541,2021,1,136,235,0.5787234042553191
Mozambique,541,2021,3,99,235,0.42127659574468085
Mozambique,541,2022,1,109,268,0.40671641791044777
Mozambique,541,2022,2,6,268,0.022388059701492536
Mozambique,541,2022,3,153,268,0.5708955223880597
Mozambique,541,2023,1,57,100,0.57
Mozambique,541,2023,2,3,100,0.03
Mozambique,541,2023,3,40,100,0.4
Mozambique,541,2024,1,37,185,0.2
Mozambique,541,2024,2,11,185,0.05945945945945946
Mozambique,541,2024,3,137,185,0.7405405405405405
Zambia,551,1989,3,25,25,1
Zambia,551,1990,3,9,9,1
Zambia,551,1993,3,1,1,1
Zambia,551,2000,3,1,1,1
Zambia,551,2001,3,2,2,1
Zimbabwe (Rhodesia),552,1989,3,3,3,1
Zimbabwe (Rhodesia),552,1990,3,3,3,1
Zimbabwe (Rhodesia),552,1995,3,2,2,1
Zimbabwe (Rhodesia),552,1998,3,1,1,1
Zimbabwe (Rhodesia),552,1999,3,1,1,1
Zimbabwe (Rhodesia),552,2001,3,1,1,1
Zimbabwe (Rhodesia),552,2003,3,1,1,1
Zimbabwe (Rhodesia),552,2007,3,2,2,1
Zimbabwe (Rhodesia),552,2008,3,40,40,1
Zimbabwe (Rhodesia),552,2009,3,1,1,1
Zimbabwe (Rhodesia),552,2011,3,1,1,1
Zimbabwe (Rhodesia),552,2012,3,1,1,1
Zimbabwe (Rhodesia),552,2018,3,2,2,1
Zimbabwe (Rhodesia),552,2019,3,8,8,1
Zimbabwe (Rhodesia),552,2020,3,1,1,1
South Africa,560,1989,1,57,279,0.20430107526881722
South Africa,560,1989,2,185,279,0.6630824372759857
South Africa,560,1989,3,37,279,0.13261648745519714
South Africa,560,1990,2,399,562,0.7099644128113879
South Africa,560,1990,3,163,562,0.2900355871886121
South Africa,560,1991,2,385,448,0.859375
South Africa,560,1991,3,63,448,0.140625
South Africa,560,1992,2,481,574,0.837979094076655
South Africa,560,1992,3,93,574,0.16202090592334495
South Africa,560,1993,2,417,576,0.7239583333333334
South Africa,560,1993,3,159,576,0.2760416666666667
South Africa,560,1994,2,232,263,0.8821292775665399
South Africa,560,1994,3,31,263,0.11787072243346007
South Africa,560,1995,2,39,39,1
South Africa,560,1996,2,37,37,1
South Africa,560,1997,2,20,20,1
South Africa,560,1998,2,23,23,1
South Africa,560,1999,2,11,11,1
South Africa,560,2000,2,1,1,1
South Africa,560,2002,3,3,3,1
South Africa,560,2004,2,4,4,1
South Africa,560,2010,3,1,1,1
South Africa,560,2015,3,1,1,1
South Africa,560,2016,2,2,3,0.6666666666666666
South Africa,560,2016,3,1,3,0.3333333333333333
South Africa,560,2018,2,2,3,0.6666666666666666
South Africa,560,2018,3,1,3,0.3333333333333333
South Africa,560,2019,2,4,6,0.6666666666666666
South Africa,560,2019,3,2,6,0.3333333333333333
South Africa,560,2020,2,12,18,0.6666666666666666
South Africa,560,2020,3,6,18,0.3333333333333333
South Africa,560,2021,2,12,12,1
South Africa,560,2022,2,4,4,1
South Africa,560,2023,2,3,5,0.6
South Africa,560,2023,3,2,5,0.4
South Africa,560,2024,3,2,2,1
Namibia,565,1994,3,1,1,1
Namibia,565,1996,3,1,1,1
Namibia,565,1999,1,1,1,1
Namibia,565,2000,1,7,15,0.4666666666666667
Namibia,565,2000,3,8,15,0.5333333333333333
Namibia,565,2002,3,1,1,1
Lesotho,570,1998,1,5,5,1
Botswana,571,1990,3,1,1,1
Kingdom of eSwatini (Swaziland),572,1989,3,2,2,1
Kingdom of eSwatini (Swaziland),572,2019,3,3,3,1
Kingdom of eSwatini (Swaziland),572,2020,3,2,2,1
Kingdom of eSwatini (Swaziland),572,2021,3,11,11,1
Kingdom of eSwatini (Swaziland),572,2022,3,2,2,1
Kingdom of eSwatini (Swaziland),572,2023,3,2,2,1
Madagascar (Malagasy),580,2002,2,32,32,1
Madagascar (Malagasy),580,2009,2,6,7,0.8571428571428571
Madagascar (Malagasy),580,2009,3,1,7,0.14285714285714285
Madagascar (Malagasy),580,2012,3,3,3,1
Madagascar (Malagasy),580,2017,3,1,1,1
Madagascar (Malagasy),580,2019,3,3,3,1
Madagascar (Malagasy),580,2020,3,1,1,1
Comoros,581,1989,1,2,2,1
Comoros,581,1997,1,2,2,1
Comoros,581,1998,2,3,3,1
Morocco,600,1989,1,6,6,1
Morocco,600,1991,1,2,2,1
Morocco,600,2003,3,2,2,1
Morocco,600,2011,3,1,1,1
Morocco,600,2020,1,1,1,1
Morocco,600,2021,1,7,7,1
Morocco,600,2022,1,4,4,1
Morocco,600,2023,1,2,2,1
Morocco,600,2024,1,2,2,1
Algeria,615,1990,1,1,1,1
Algeria,615,1991,1,4,4,1
Algeria,615,1992,1,120,120,1
Algeria,615,1993,1,265,269,0.9851301115241635
Algeria,615,1993,3,4,269,0.01486988847583643
Algeria,615,1994,1,341,350,0.9742857142857143
Algeria,615,1994,2,2,350,0.005714285714285714
Algeria,615,1994,3,7,350,0.02
Algeria,615,1995,1,391,394,0.9923857868020305
Algeria,615,1995,2,3,394,0.007614213197969543
Algeria,615,1996,1,122,123,0.991869918699187
Algeria,615,1996,3,1,123,0.008130081300813009
Algeria,615,1997,1,117,128,0.9140625
Algeria,615,1997,2,1,128,0.0078125
Algeria,615,1997,3,10,128,0.078125
Algeria,615,1998,1,359,383,0.9373368146214099
Algeria,615,1998,2,7,383,0.018276762402088774
Algeria,615,1998,3,17,383,0.044386422976501305
Algeria,615,1999,1,205,226,0.9070796460176991
Algeria,615,1999,2,2,226,0.008849557522123894
Algeria,615,1999,3,19,226,0.084070796460177
Algeria,615,2000,1,216,252,0.8571428571428571
